,EnsemblTranscriptID,chr,pos,strand
19648,ENST00000370061,chr1,"[(107682638, 107682821), (107690690, 107691215)]",+
19649,ENST00000370067,chr1,"[(107683660, 107683762), (107690690, 107691215)]",+
19650,ENST00000370068,chr1,"[(107683441, 107683762), (107690690, 107691215)]",+
19651,ENST00000370069,chr20,"[(62236171, 62236255)]",-
19652,ENST00000370070,chr1,"[(107682638, 107682821), (107690690, 107691215)]",+
19653,ENST00000370071,chr1,"[(107682628, 107682821), (107690690, 107691215)]",+
19654,ENST00000370072,chr1,"[(107682638, 107682821), (107690690, 107691215)]",+
19655,ENST00000370073,chr1,"[(107682628, 107682821), (107690690, 107691215)]",+
19656,ENST00000370074,chr1,"[(107682628, 107682821), (107690690, 107691215)]",+
19657,ENST00000370077,chr20,"[(62250750, 62250807), (62258308, 62258394)]",-
19658,ENST00000370078,chr1,"[(107599300, 107599337)]",+
19659,ENST00000370079,chr1,"[(104293027, 104293091)]",+
19660,ENST00000370080,chr1,"[(104238261, 104238307), (104238905, 104239076)]",-
19661,ENST00000370081,chr6,"[(75953546, 75953589), (75959771, 75960039)]",-
19662,ENST00000370083,chr1,"[(104198376, 104198550), (104198906, 104198952)]",+
19663,ENST00000370085,chrX,"[(153060128, 153060142)]",+
19664,ENST00000370086,chrX,"[(153060093, 153060142)]",+
19665,ENST00000370087,chrX,"[(153059645, 153059789), (153060128, 153060142)]",+
19666,ENST00000370089,chr6,"[(75953546, 75953725)]",-
19667,ENST00000370092,chrX,"[(153059781, 153059967)]",-
19668,ENST00000370093,chrX,"[(153059781, 153059836)]",-
19669,ENST00000370094,chr10,"[(103577779, 103578175)]",-
19670,ENST00000370096,chr1,"[(103573734, 103574047)]",-
19671,ENST00000370097,chr20,"[(62185495, 62185559), (62187006, 62187016)]",+
19672,ENST00000370098,chr20,"[(62184372, 62184454), (62187006, 62187016)]",+
19673,ENST00000370100,chrX,"[(153046570, 153046600)]",+
19674,ENST00000370101,chrX,"[(153046495, 153046541)]",+
19675,ENST00000370103,chr1,"[(102462372, 102462586)]",-
19676,ENST00000370104,chrX,"[(153046493, 153046541)]",+
19677,ENST00000370108,chrX,"[(153046493, 153046541)]",+
19678,ENST00000370109,chr1,"[(101490999, 101491022), (101491238, 101491328)]",-
19679,ENST00000370110,chr10,"[(103543147, 103543170)]",-
19680,ENST00000370112,chr1,"[(101361631, 101361818)]",+
19681,ENST00000370113,chr1,"[(101354313, 101354420), (101360188, 101360368)]",-
19682,ENST00000370114,chr1,"[(101354313, 101354384), (101360188, 101361554)]",-
19683,ENST00000370115,chr1,"[(101185319, 101185416)]",+
19684,ENST00000370119,chr1,"[(101185297, 101185416)]",+
19685,ENST00000370124,chr1,"[(100818057, 100818510)]",+
19686,ENST00000370125,chr1,"[(100818022, 100818510)]",+
19687,ENST00000370126,chr1,"[(100731844, 100731931)]",+
19688,ENST00000370128,chr1,"[(100731762, 100731931)]",+
19689,ENST00000370129,chrX,"[(152991271, 152991276)]",+
19690,ENST00000370132,chr1,"[(100715376, 100715390)]",-
19691,ENST00000370137,chr1,"[(100634072, 100634150), (100638886, 100638926), (100643690, 100643771)]",-
19692,ENST00000370138,chr1,"[(100634072, 100634150), (100638886, 100638926), (100643690, 100643771)]",-
19693,ENST00000370139,chr1,"[(100598770, 100598817)]",+
19694,ENST00000370141,chr1,"[(100598718, 100598724)]",+
19695,ENST00000370142,chrX,"[(152938531, 152938533), (152939728, 152939780)]",-
19696,ENST00000370143,chr1,"[(100598705, 100598724)]",+
19697,ENST00000370145,chrX,"[(152938725, 152938743)]",-
19698,ENST00000370147,chr10,"[(103348081, 103348093)]",+
19699,ENST00000370148,chr10,"[(103348088, 103348093)]",+
19700,ENST00000370150,chrX,"[(152938531, 152938533), (152938971, 152939148)]",-
19701,ENST00000370151,chr10,"[(103348044, 103348093)]",+
19702,ENST00000370152,chr1,"[(100503652, 100503788)]",+
19703,ENST00000370155,chr1,"[(100435344, 100435718), (100459092, 100459110)]",+
19704,ENST00000370158,chr10,"[(103347068, 103347883)]",-
19705,ENST00000370162,chr10,"[(103347117, 103347163), (103347578, 103348027)]",-
19706,ENST00000370163,chr1,"[(100316044, 100316174), (100316530, 100316598)]",+
19707,ENST00000370165,chr1,"[(100316044, 100316174), (100316590, 100316598)]",+
19708,ENST00000370167,chrX,"[(152907987, 152908065), (152913372, 152913407)]",+
19709,ENST00000370168,chr10,"[(103342732, 103342950)]",-
19710,ENST00000370169,chr10,"[(103347117, 103347178)]",-
19711,ENST00000370172,chr10,"[(103345764, 103345913), (103346878, 103346957), (103347960, 103348005)]",-
19712,ENST00000370177,chr20,"[(62152127, 62152247), (62152636, 62152661)]",+
19713,ENST00000370179,chr20,"[(62152076, 62152247), (62152636, 62152661)]",+
19714,ENST00000370181,chrX,"[(152801579, 152801705)]",+
19715,ENST00000370184,chr1,"[(99764419, 99764526)]",+
19716,ENST00000370185,chr1,"[(99729508, 99730005)]",+
19717,ENST00000370186,chrX,"[(152783133, 152783333), (152801579, 152801705)]",+
19718,ENST00000370187,chr10,"[(103113819, 103113937)]",+
19719,ENST00000370188,chr1,"[(99470227, 99470588)]",-
19720,ENST00000370189,chr1,"[(99127235, 99127467), (99128252, 99128372), (99150440, 99150452)]",+
19721,ENST00000370192,chr1,"[(98386478, 98386579)]",-
19722,ENST00000370193,chr10,"[(102988572, 102989551)]",-
19723,ENST00000370196,chr10,"[(102889256, 102891298)]",+
19724,ENST00000370197,chr1,"[(97187365, 97187420)]",+
19725,ENST00000370198,chr1,"[(97187365, 97187420)]",+
19726,ENST00000370200,chr10,"[(102821597, 102821872), (102822298, 102822349)]",+
19727,ENST00000370202,chr1,"[(95699710, 95699786)]",+
19728,ENST00000370203,chr1,"[(95582893, 95583173), (95609446, 95609457)]",+
19729,ENST00000370205,chr1,"[(95538454, 95538501)]",-
19730,ENST00000370206,chr1,"[(95392450, 95392834)]",-
19731,ENST00000370207,chr1,"[(95007192, 95007193)]",-
19732,ENST00000370210,chrX,"[(152736015, 152736603), (152760831, 152760974)]",-
19733,ENST00000370211,chrX,"[(152736045, 152736089)]",-
19734,ENST00000370214,chr1,"[(94884010, 94884034)]",+
19735,ENST00000370215,chr10,"[(102789976, 102790141), (102790829, 102790890)]",-
19736,ENST00000370217,chr1,"[(94697167, 94697199), (94702970, 94703189)]",-
19737,ENST00000370220,chr10,"[(102759232, 102762295)]",+
19738,ENST00000370223,chr10,"[(102756828, 102756991), (102762253, 102762295)]",+
19739,ENST00000370224,chr20,"[(62103816, 62103991)]",-
19740,ENST00000370225,chr1,"[(94586601, 94586688)]",-
19741,ENST00000370228,chr10,"[(102747782, 102747967)]",+
19742,ENST00000370231,chrX,"[(152710888, 152710953), (152711466, 152711945)]",-
19743,ENST00000370232,chrX,"[(152713300, 152713367), (152719851, 152719966), (152720999, 152721106), (152721722, 152721822), (152721950, 152722109), (152722594, 152722686), (152728067, 152728129), (152730445, 152730513), (152734603, 152734719), (152735907, 152736045)]",-
19744,ENST00000370234,chr10,"[(102747200, 102747240)]",-
19745,ENST00000370236,chr10,"[(102747200, 102747240)]",-
19746,ENST00000370238,chr1,"[(94374719, 94374966)]",-
19747,ENST00000370241,chr10,"[(102747200, 102747213)]",-
19748,ENST00000370242,chr10,"[(102747200, 102747254)]",-
19749,ENST00000370243,chr1,"[(94140486, 94140497), (94146662, 94146926)]",-
19750,ENST00000370244,chr1,"[(94140486, 94140497), (94171647, 94171698), (94311122, 94311268), (94312625, 94312706)]",-
19751,ENST00000370247,chr1,"[(94079487, 94079654)]",-
19752,ENST00000370249,chrX,"[(152609734, 152611079), (152612276, 152612302)]",+
19753,ENST00000370250,chr10,"[(102732296, 102732669)]",+
19754,ENST00000370251,chrX,"[(152599612, 152599743), (152602091, 152602137)]",+
19755,ENST00000370256,chr1,"[(93913687, 93913838)]",+
19756,ENST00000370261,chrX,"[(152342813, 152342941), (152343269, 152343394)]",-
19757,ENST00000370263,chr20,"[(61992517, 61992739)]",-
19758,ENST00000370264,chrX,"[(152225386, 152225412)]",+
19759,ENST00000370265,chrX,"[(152224765, 152224995), (152225306, 152225412)]",+
19760,ENST00000370267,chr1,"[(93811491, 93811745), (93811869, 93812202)]",+
19761,ENST00000370268,chrX,"[(152082996, 152083033)]",+
19762,ENST00000370269,chr10,"[(102672735, 102672867)]",+
19763,ENST00000370271,chr10,"[(102672719, 102672867)]",+
19764,ENST00000370272,chr1,"[(93811444, 93812202)]",+
19765,ENST00000370274,chrX,"[(151999510, 151999661), (152014825, 152014868)]",+
19766,ENST00000370275,chr20,"[(61904184, 61904272), (61906928, 61906932)]",+
19767,ENST00000370277,chrX,"[(151999254, 151999321)]",-
19768,ENST00000370278,chrX,"[(151936166, 151936231), (151936311, 151936377), (151938162, 151938240)]",-
19769,ENST00000370280,chr1,"[(93645799, 93645818)]",-
19770,ENST00000370282,chr1,"[(93645799, 93646285)]",-
19771,ENST00000370283,chr20,"[(61904136, 61904272), (61906928, 61906932)]",+
19772,ENST00000370284,chrX,"[(151919887, 151919952), (151920032, 151920098), (151922311, 151922340)]",-
19773,ENST00000370287,chrX,"[(151903227, 151903295), (151903726, 151903942), (151904458, 151904502)]",+
19774,ENST00000370291,chrX,"[(151903271, 151903295), (151903726, 151903938), (151904458, 151904502)]",+
19775,ENST00000370293,chrX,"[(151883089, 151883171), (151885384, 151885450), (151885530, 151885595)]",+
19776,ENST00000370296,chr10,"[(102505467, 102506017)]",+
19777,ENST00000370298,chr1,"[(93544794, 93545083)]",+
19778,ENST00000370300,chr6,"[(74171487, 74171577)]",+
19779,ENST00000370303,chr1,"[(93544867, 93545083)]",+
19780,ENST00000370305,chr6,"[(74171468, 74171517), (74175931, 74175936)]",+
19781,ENST00000370306,chrX,"[(151806636, 151806656)]",+
19782,ENST00000370307,chr20,"[(61881292, 61881424), (61903933, 61904046)]",-
19783,ENST00000370310,chr1,"[(93426986, 93427057)]",-
19784,ENST00000370313,chr20,"[(61881292, 61881424), (61884569, 61884789)]",-
19785,ENST00000370314,chrX,"[(151533042, 151533068), (151619617, 151619830)]",-
19786,ENST00000370315,chr6,"[(74161904, 74161999)]",-
19787,ENST00000370316,chr20,"[(61885802, 61885892)]",-
19788,ENST00000370318,chr6,"[(74161904, 74161982)]",-
19789,ENST00000370320,chr10,"[(102289608, 102289621)]",-
19790,ENST00000370321,chr1,"[(93297581, 93297671)]",+
19791,ENST00000370322,chr10,"[(102289255, 102289263), (102289614, 102289757)]",-
19792,ENST00000370323,chrX,"[(151304092, 151304157), (151304232, 151304306), (151305342, 151305441), (151306946, 151307025)]",-
19793,ENST00000370325,chrX,"[(151143097, 151143151)]",-
19794,ENST00000370328,chrX,"[(151143097, 151143151)]",-
19795,ENST00000370329,chr10,"[(102276709, 102276754), (102279538, 102279711)]",-
19796,ENST00000370331,chr1,"[(93257951, 93257961)]",-
19797,ENST00000370332,chr1,"[(92949044, 92949143), (92949291, 92949511)]",-
19798,ENST00000370333,chr20,"[(61835141, 61835159), (61839814, 61839970)]",-
19799,ENST00000370334,chr20,"[(61847244, 61847491)]",-
19800,ENST00000370335,chrX,"[(151086023, 151086153), (151091924, 151091996), (151092071, 151092136)]",+
19801,ENST00000370336,chr6,"[(74104470, 74104628)]",+
19802,ENST00000370337,chrX,"[(151082664, 151082748), (151091924, 151091996), (151092071, 151092136)]",+
19803,ENST00000370339,chr20,"[(61847244, 61847586)]",-
19804,ENST00000370340,chrX,"[(151083979, 151084109), (151091924, 151091996), (151092071, 151092136)]",+
19805,ENST00000370345,chr10,"[(102276709, 102276754), (102279538, 102279591)]",-
19806,ENST00000370346,chr20,"[(61638078, 61638387)]",-
19807,ENST00000370349,chr20,"[(61584058, 61584241), (61584562, 61584583)]",+
19808,ENST00000370350,chrX,"[(150884506, 150884591)]",+
19809,ENST00000370351,chr20,"[(61584051, 61584182)]",+
19810,ENST00000370353,chrX,"[(150866778, 150867137), (150867255, 150867286)]",+
19811,ENST00000370354,chrX,"[(150863950, 150864016), (150867255, 150867286)]",+
19812,ENST00000370355,chr10,"[(102106880, 102107261)]",+
19813,ENST00000370357,chrX,"[(150732093, 150732311), (150769998, 150770025)]",+
19814,ENST00000370360,chr1,"[(92763556, 92763586), (92764481, 92764533)]",-
19815,ENST00000370361,chrX,"[(150565037, 150565119), (150565270, 150565311)]",+
19816,ENST00000370363,chr6,"[(74104093, 74104211), (74104441, 74104816)]",-
19817,ENST00000370366,chr20,"[(61542964, 61542966), (61545561, 61545758)]",-
19818,ENST00000370367,chr6,"[(74072399, 74072452)]",+
19819,ENST00000370368,chr20,"[(61542964, 61542966), (61545561, 61545758), (61557790, 61557823)]",-
19820,ENST00000370370,chr6,"[(74063948, 74064018)]",-
19821,ENST00000370371,chr20,"[(61542964, 61542966), (61545561, 61545758), (61569147, 61569304)]",-
19822,ENST00000370372,chr10,"[(102046416, 102046469)]",-
19823,ENST00000370373,chr1,"[(92683588, 92683605), (92696938, 92697043), (92706262, 92706493), (92707768, 92707862), (92709773, 92709790)]",+
19824,ENST00000370375,chr1,"[(92683496, 92683605), (92696938, 92696977)]",+
19825,ENST00000370377,chrX,"[(150067061, 150067179)]",-
19826,ENST00000370378,chr1,"[(92632608, 92632697), (92633404, 92633413)]",+
19827,ENST00000370379,chr10,"[(102006665, 102006668)]",-
19828,ENST00000370380,chr2,"[(232316905, 232316973), (232317091, 232317247)]",+
19829,ENST00000370382,chr1,"[(92545861, 92546128)]",+
19830,ENST00000370383,chr1,"[(92495538, 92495636)]",+
19831,ENST00000370384,chr6,"[(74019437, 74019938)]",-
19832,ENST00000370388,chr6,"[(73935131, 73935175)]",-
19833,ENST00000370389,chr1,"[(92414927, 92415239), (92415446, 92416031), (92430183, 92430210)]",+
19834,ENST00000370390,chrX,"[(149861846, 149862003)]",+
19835,ENST00000370392,chr6,"[(73331833, 73331917)]",+
19836,ENST00000370396,chrX,"[(149737068, 149737112), (149761066, 149761076)]",+
19837,ENST00000370397,chr10,"[(101989289, 101989376)]",-
19838,ENST00000370398,chr6,"[(73331808, 73331917)]",+
19839,ENST00000370399,chr1,"[(92327088, 92327201), (92365193, 92365254), (92371382, 92371892)]",-
19840,ENST00000370401,chrX,"[(149531550, 149531797), (149613719, 149613782)]",+
19841,ENST00000370404,chrX,"[(149102092, 149102121), (149102222, 149102355), (149105631, 149105698), (149106410, 149106677)]",-
19842,ENST00000370406,chrX,"[(149102092, 149102121), (149102222, 149102355), (149105650, 149105698), (149106410, 149107029)]",-
19843,ENST00000370416,chrX,"[(148855725, 148856339)]",+
19844,ENST00000370418,chr10,"[(101841382, 101841634)]",-
19845,ENST00000370424,chr1,"[(91845703, 91845793), (91846468, 91846486), (91866568, 91866666), (91870354, 91870378)]",-
19846,ENST00000370425,chr1,"[(91866639, 91866666), (91870354, 91870426)]",-
19847,ENST00000370434,chr10,"[(101542519, 101542601)]",+
19848,ENST00000370435,chr6,"[(71998505, 71998639)]",+
19849,ENST00000370440,chr1,"[(91447910, 91447927), (91486829, 91487030)]",-
19850,ENST00000370441,chrX,"[(148586667, 148586877)]",-
19851,ENST00000370443,chrX,"[(148586667, 148586884)]",-
19852,ENST00000370445,chr1,"[(91182752, 91182794)]",-
19853,ENST00000370447,chr1,"[(90460695, 90460816)]",+
19854,ENST00000370449,chr10,"[(101542488, 101542601)]",+
19855,ENST00000370452,chr6,"[(71377478, 71377726)]",+
19856,ENST00000370453,chr1,"[(90098698, 90098881), (90152028, 90152032)]",+
19857,ENST00000370454,chr1,"[(90098630, 90098881), (90152028, 90152032)]",+
19858,ENST00000370455,chr6,"[(71377478, 71377726)]",+
19859,ENST00000370456,chr1,"[(89829616, 89829686), (89834087, 89834110)]",+
19860,ENST00000370457,chrX,"[(147582138, 147582617)]",+
19861,ENST00000370458,chrX,"[(147582528, 147582617)]",+
19862,ENST00000370459,chr1,"[(89735238, 89735257), (89736437, 89736546)]",-
19863,ENST00000370460,chrX,"[(147582138, 147582617)]",+
19864,ENST00000370461,chr20,"[(61437237, 61439514)]",+
19865,ENST00000370466,chr1,"[(89587649, 89587666), (89591545, 89591797)]",-
19866,ENST00000370467,chrX,"[(147062848, 147062922)]",+
19867,ENST00000370471,chrX,"[(146993468, 146993697)]",+
19868,ENST00000370473,chr1,"[(89528917, 89528936), (89530842, 89531043)]",-
19869,ENST00000370474,chr6,"[(71276619, 71276643)]",+
19870,ENST00000370475,chrX,"[(146993569, 146993697)]",+
19871,ENST00000370476,chr10,"[(101491976, 101492105)]",+
19872,ENST00000370477,chrX,"[(146993480, 146993697)]",+
19873,ENST00000370479,chr6,"[(71123106, 71123405), (71124993, 71125079), (71136141, 71136235), (71138006, 71138045)]",+
19874,ENST00000370481,chr1,"[(89486404, 89486426), (89488366, 89488565)]",-
19875,ENST00000370483,chr10,"[(101491806, 101491857)]",-
19876,ENST00000370485,chr1,"[(89454033, 89454034), (89458267, 89458287)]",-
19877,ENST00000370487,chr20,"[(61427804, 61427875)]",+
19878,ENST00000370489,chr10,"[(101419262, 101419345), (101419618, 101419713)]",+
19879,ENST00000370490,chrX,"[(144899688, 144903943)]",+
19880,ENST00000370491,chr1,"[(89435147, 89435150), (89458267, 89458459)]",-
19881,ENST00000370493,chrX,"[(144328347, 144329106)]",+
19882,ENST00000370494,chrX,"[(142967172, 142967202)]",+
19883,ENST00000370495,chr10,"[(101380092, 101380121)]",-
19884,ENST00000370496,chr6,"[(71012627, 71012773)]",-
19885,ENST00000370498,chrX,"[(142803762, 142804516)]",-
19886,ENST00000370500,chr1,"[(89357182, 89357301)]",-
19887,ENST00000370501,chr20,"[(61340188, 61340559)]",+
19888,ENST00000370503,chrX,"[(142605219, 142605303)]",-
19889,ENST00000370504,chrX,"[(142113717, 142113800)]",+
19890,ENST00000370505,chr1,"[(89149992, 89150311), (89225904, 89226026)]",+
19891,ENST00000370507,chr20,"[(61287710, 61287806)]",+
19892,ENST00000370508,chr10,"[(101190322, 101190350)]",-
19893,ENST00000370509,chr1,"[(167522978, 167523004)]",-
19894,ENST00000370513,chr1,"[(89150255, 89150263)]",+
19895,ENST00000370515,chrX,"[(140786562, 140786896)]",-
19896,ENST00000370518,chrX,"[(140677561, 140677894)]",+
19897,ENST00000370519,chrX,"[(140672800, 140673133)]",-
19898,ENST00000370520,chr20,"[(61274407, 61274656)]",-
19899,ENST00000370521,chr1,"[(89149904, 89150263)]",+
19900,ENST00000370523,chr20,"[(61150767, 61150806)]",+
19901,ENST00000370524,chr20,"[(61147659, 61148245), (61150671, 61150806)]",+
19902,ENST00000370526,chrX,"[(140271206, 140271310)]",-
19903,ENST00000370527,chr20,"[(61147659, 61148245), (61150671, 61150864)]",+
19904,ENST00000370530,chrX,"[(140096760, 140096863)]",+
19905,ENST00000370532,chrX,"[(139866531, 139866723)]",-
19906,ENST00000370534,chr10,"[(101089687, 101090239)]",+
19907,ENST00000370535,chrX,"[(139791931, 139791961)]",+
19908,ENST00000370540,chrX,"[(139047655, 139047679)]",-
19909,ENST00000370542,chr1,"[(87797350, 87797497), (87797695, 87797698)]",+
19910,ENST00000370543,chrX,"[(138914348, 138914447)]",-
19911,ENST00000370544,chr1,"[(87794150, 87794927), (87797695, 87797698)]",+
19912,ENST00000370548,chr1,"[(87458691, 87458764)]",+
19913,ENST00000370549,chr10,"[(100995559, 100995619)]",-
19914,ENST00000370550,chr1,"[(87380356, 87380719)]",+
19915,ENST00000370551,chr1,"[(87380330, 87380719)]",+
19916,ENST00000370552,chr10,"[(100995559, 100995619)]",-
19917,ENST00000370554,chr1,"[(87379785, 87379817)]",-
19918,ENST00000370557,chrX,"[(139014201, 139015229)]",-
19919,ENST00000370558,chr1,"[(87170258, 87170582)]",+
19920,ENST00000370562,chr20,"[(60962352, 60962394)]",+
19921,ENST00000370563,chr1,"[(87012760, 87012802)]",+
19922,ENST00000370565,chr1,"[(86889768, 86889930)]",+
19923,ENST00000370566,chr1,"[(86852710, 86852769), (86861715, 86862023)]",-
19924,ENST00000370567,chr1,"[(86852710, 86852769), (86861715, 86862003)]",-
19925,ENST00000370570,chr6,"[(70500214, 70500557)]",-
19926,ENST00000370571,chr1,"[(86622079, 86622446)]",-
19927,ENST00000370574,chr1,"[(86173967, 86174101)]",-
19928,ENST00000370575,chr10,"[(100174892, 100174941)]",-
19929,ENST00000370576,chrX,"[(138724677, 138724887)]",-
19930,ENST00000370577,chr6,"[(70506773, 70507003)]",-
19931,ENST00000370580,chr1,"[(85742035, 85742773)]",-
19932,ENST00000370584,chr10,"[(99894386, 99894463), (99923049, 99923154), (99946223, 99946320), (99967857, 99967871)]",+
19933,ENST00000370586,chr10,"[(99922639, 99922732), (99923049, 99923151)]",+
19934,ENST00000370587,chr1,"[(85511043, 85511045), (85512992, 85513292), (85514078, 85514153)]",-
19935,ENST00000370589,chr1,"[(85511043, 85511045), (85514078, 85514129)]",-
19936,ENST00000370591,chr10,"[(99790229, 99790585)]",-
19937,ENST00000370596,chr1,"[(85464829, 85465021), (85537610, 85537624)]",+
19938,ENST00000370597,chr10,"[(99790229, 99790585)]",-
19939,ENST00000370598,chr6,"[(69345258, 69345892), (69347282, 69347454), (69348552, 69348567)]",+
19940,ENST00000370602,chr10,"[(99609995, 99610060)]",+
19941,ENST00000370606,chrX,"[(136648676, 136648850)]",+
19942,ENST00000370608,chr1,"[(85462555, 85462623)]",-
19943,ENST00000370610,chr10,"[(99496877, 99497078), (99504485, 99504511)]",+
19944,ENST00000370611,chr1,"[(85331803, 85331821), (85358698, 85358896)]",-
19945,ENST00000370612,chr1,"[(85136902, 85136991), (85156053, 85156240)]",-
19946,ENST00000370613,chr10,"[(99496877, 99497078), (99498233, 99498234)]",+
19947,ENST00000370618,chr6,"[(66205303, 66205500), (66205751, 66205886), (66349670, 66349785), (66417027, 66417107)]",-
19948,ENST00000370620,chrX,"[(135825942, 135825945), (135827381, 135827506), (135829666, 135829751), (135849302, 135849502)]",-
19949,ENST00000370621,chr6,"[(66205303, 66205500), (66205751, 66205886), (66349670, 66349785), (66417027, 66417107)]",-
19950,ENST00000370622,chrX,"[(135825942, 135825945), (135827381, 135827506), (135829666, 135829751), (135850571, 135850786)]",-
19951,ENST00000370624,chr1,"[(85097390, 85097429), (85100614, 85100703)]",-
19952,ENST00000370626,chr10,"[(99439662, 99439672), (99446522, 99447080)]",-
19953,ENST00000370628,chrX,"[(135730385, 135730407)]",+
19954,ENST00000370629,chrX,"[(135730351, 135730407)]",+
19955,ENST00000370630,chr1,"[(85040098, 85040147)]",-
19956,ENST00000370631,chr10,"[(99400442, 99400499)]",+
19957,ENST00000370634,chrX,"[(135614310, 135614455), (135618154, 135618179)]",+
19958,ENST00000370635,chr10,"[(99379410, 99379440), (99393103, 99393248)]",-
19959,ENST00000370640,chr10,"[(99349449, 99349654)]",+
19960,ENST00000370641,chr1,"[(84971774, 84972248)]",-
19961,ENST00000370645,chr1,"[(84971774, 84971984), (84972118, 84972248)]",-
19962,ENST00000370646,chr10,"[(99344099, 99344460)]",+
19963,ENST00000370647,chr10,"[(99344099, 99344460)]",+
19964,ENST00000370648,chrX,"[(135570045, 135570273)]",+
19965,ENST00000370649,chr10,"[(99344130, 99344460)]",+
19966,ENST00000370650,chr6,"[(64282474, 64282624), (64286340, 64286785)]",+
19967,ENST00000370651,chr6,"[(64281916, 64282624), (64286340, 64286785)]",+
19968,ENST00000370652,chrX,"[(135387011, 135387182), (135390927, 135390936)]",+
19969,ENST00000370654,chr1,"[(84944949, 84944964)]",+
19970,ENST00000370655,chr10,"[(99332255, 99332545)]",+
19971,ENST00000370656,chr1,"[(84944941, 84944964)]",+
19972,ENST00000370657,chr6,"[(64029848, 64029882)]",-
19973,ENST00000370658,chr6,"[(64029848, 64029882)]",-
19974,ENST00000370659,chr6,"[(63921350, 63921461)]",+
19975,ENST00000370661,chrX,"[(135333517, 135333530)]",-
19976,ENST00000370662,chr1,"[(84873912, 84874201), (84876520, 84876682), (84878031, 84878108)]",+
19977,ENST00000370663,chrX,"[(135338478, 135338641)]",-
19978,ENST00000370664,chr10,"[(99258624, 99258960)]",+
19979,ENST00000370665,chr1,"[(84864214, 84864247)]",+
19980,ENST00000370668,chr1,"[(84768333, 84768373), (84768885, 84768917)]",+
19981,ENST00000370669,chr1,"[(84767402, 84767697), (84768885, 84768917)]",+
19982,ENST00000370670,chr1,"[(84768715, 84768783), (84768885, 84768917)]",+
19983,ENST00000370671,chr1,"[(84765240, 84765299)]",+
19984,ENST00000370673,chr1,"[(84764048, 84764240)]",+
19985,ENST00000370676,chrX,"[(135279184, 135279271)]",+
19986,ENST00000370677,chr20,"[(60942301, 60942326)]",-
19987,ENST00000370680,chr1,"[(84630377, 84630689)]",+
19988,ENST00000370682,chr1,"[(84630064, 84630095)]",+
19989,ENST00000370683,chrX,"[(135278931, 135279271)]",+
19990,ENST00000370685,chr1,"[(84609953, 84610044)]",+
19991,ENST00000370688,chr1,"[(84543826, 84544008)]",+
19992,ENST00000370689,chr1,"[(84543744, 84544008)]",+
19993,ENST00000370690,chrX,"[(135229623, 135229787), (135252065, 135252139), (135288565, 135288591)]",+
19994,ENST00000370692,chr20,"[(60942301, 60942353)]",-
19995,ENST00000370693,chr6,"[(57037123, 57037495)]",+
19996,ENST00000370695,chrX,"[(135067626, 135067661)]",+
19997,ENST00000370698,chrX,"[(135067626, 135067661)]",+
19998,ENST00000370701,chrX,"[(135067597, 135067636), (135067761, 135067817)]",+
19999,ENST00000370702,chr6,"[(56954874, 56955051)]",+
20000,ENST00000370706,chr6,"[(56954807, 56955051)]",+
20001,ENST00000370708,chr6,"[(56954873, 56955051)]",+
20002,ENST00000370710,chr6,"[(56955004, 56955051)]",+
20003,ENST00000370713,chr1,"[(82266081, 82266197), (82302569, 82302669)]",+
20004,ENST00000370715,chr1,"[(82266081, 82266197), (82302569, 82302669)]",+
20005,ENST00000370717,chr1,"[(82266081, 82266197), (82302569, 82302669)]",+
20006,ENST00000370721,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20007,ENST00000370723,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20008,ENST00000370724,chrX,"[(134950246, 134950252), (134953755, 134953994)]",-
20009,ENST00000370725,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20010,ENST00000370727,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20011,ENST00000370728,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20012,ENST00000370730,chr1,"[(81771850, 81772194), (81910720, 81910774), (82046560, 82046665), (82227495, 82227537), (82302569, 82302669)]",+
20013,ENST00000370732,chr17,"[(67047267, 67047280), (67057006, 67057136)]",-
20014,ENST00000370733,chr6,"[(56911346, 56911553)]",+
20015,ENST00000370734,chrX,"[(134883487, 134883726), (134887226, 134887232)]",+
20016,ENST00000370736,chrX,"[(134866213, 134866452), (134869957, 134869963)]",+
20017,ENST00000370741,chrX,"[(134847184, 134847423), (134852695, 134852701)]",+
20018,ENST00000370742,chr1,"[(79472339, 79472403)]",-
20019,ENST00000370745,chr6,"[(56820169, 56820258), (56846508, 56846608)]",+
20020,ENST00000370746,chr6,"[(56820089, 56820258), (56846508, 56846608)]",+
20021,ENST00000370747,chr1,"[(79115515, 79115590), (79115870, 79115880)]",+
20022,ENST00000370748,chr6,"[(56819923, 56820258), (56846508, 56846608)]",+
20023,ENST00000370750,chr6,"[(56819772, 56820258), (56846508, 56846608)]",+
20024,ENST00000370751,chr1,"[(79086087, 79086256), (79093590, 79093600)]",+
